year,num_countries,num_contestants,gold_cutoff,silver_cutoff,bronze_cutoff,senior,assistant,moderating,chair
1989,,,,,,,,,
1990,,,,,,,,,
1991,,,,,,,,,
1992,,,,,,,,,
1993,,,,,,,,,
1994,,,,,,,,,
1995,,,,,,,,,
1996,,,,,,,,,
1997,,,,,,,,,
1998,,,,,,,,,
1999,,,,,,,,,
2000,,,,,,,,,
2001,,,,,,,,,
2002,,,,,,,,,
2003,,,,,,,,,
2004,,,,,,Canada,,,
2005,,,,,,Republic of Korea,,,
2006,,,,,,Republic of Korea,,,
2007,,,,,,Republic of Korea,,,
2008,,,,,,Republic of Korea,,,
2009,,,,,,,,,
2010,33,298,22,17,14,Japan,,,
2011,35,317,22,16,10,Japan,,,
2012,37,333,24,18,12,Japan,,,
2013,34,307,29,21,14,Kazakhstan,Japan,New Zealand,
2014,36,308,18,12,8,Kazakhstan,Japan,Singapore,
2015,33,299,25,19,13,Kazakhstan,Australia,Mexico,
2016,36,330,23,16,10,Mexico,Peru,Australia,Leonardo I. Martínez Sandoval
2017,39,353,24,18,11,Mexico,Peru,Russia,Leonardo I. Martínez Sandoval
2018,39,352,22,17,11,Mexico,Brazil,Canada,Leonardo I. Martínez Sandoval
2019,41,359,19,14,10,Mexico,Brazil,Philippines,Leonardo I. Martínez Sandoval
2020,38,337,20,15,11,Indonesia,Thailand,Mexico,Aleams Barra
2021,37,344,20,15,10,Indonesia,Thailand,Mexico,Aleams Barra
