Code,Country,# of Contestants,Total Score,Gold Awards,Silver Awards,Bronze Awards,Honorable Mentions
ARG,Argentina,10,89,0,0,2,8
AUS,Australia,10,172,1,2,4,2
AZE,Azerbaijan,10,84,0,0,2,8
BOL,Bolivia,7,54,1,0,0,3
BRA,Brazil,10,170,0,3,4,2
BGR,Bulgaria,10,106,0,0,4,4
CAN,Canada,10,196,1,2,4,3
COL,Colombia,10,78,0,1,1,3
CRI,Costa Rica,7,25,0,0,0,1
ECU,Ecuador,10,43,0,0,0,1
SLV,El Salvador,3,8,0,0,0,0
HKG,Hong Kong,10,182,1,2,4,3
IND,India,10,221,1,2,4,3
IDN,Indonesia,10,95,0,0,2,6
,Iran,10,181,1,2,4,3
JPN,Japan,10,246,1,2,4,3
KAZ,Kazakhstan,10,181,1,2,4,3
,Korea,10,306,1,2,4,3
KGZ,Kyrgyzstan,10,86,0,0,2,8
MAC,Macau,10,87,0,0,2,8
MYS,Malaysia,10,220,1,2,4,3
MEX,Mexico,10,154,1,2,4,2
MNG,Mongolia,10,137,1,2,3,4
MAR,Morocco,10,76,0,0,0,7
NZL,New Zealand,10,104,0,1,3,6
NIC,Nicaragua,10,44,0,0,1,4
,North Macedonia,5,39,0,0,0,5
PAK,Pakistan,6,33,0,0,0,4
PAN,Panama,5,8,0,0,0,0
PER,Peru,10,144,0,2,5,3
PHL,Philippines,10,91,1,0,1,6
SAU,Saudi Arabia,10,97,0,0,3,7
SGP,Singapore,10,220,1,2,4,3
LKA,Sri Lanka,8,70,0,0,3,3
SYR,Syria,10,69,0,0,0,8
TWN,Taiwan,10,191,1,2,4,3
TJK,Tajikistan,10,118,1,1,1,7
THA,Thailand,10,160,1,2,4,3
TKM,Turkmenistan,10,108,0,0,5,4
USA,United States of America,10,324,1,2,4,3
URY,Uruguay,6,32,0,0,0,3
UZB,Uzbekistan,10,108,0,1,2,7
,Vietnam,10,204,1,2,4,3
