Rank,Code,Country,# of Contestants,Total Score,Gold Awards,Silver Awards,Bronze Awards,Honorable Mentions
1,KOR,Republic of Korea,10,240,1,2,4,3
2,USA,United States of America,10,212,1,2,4,3
3,SGP,Singapore,10,202,1,2,4,3
4,THA,Thailand,10,200,1,2,4,3
5,RUS,Russia,10,194,1,2,4,3
6,IRN,Islamic Republic of Iran,10,193,1,2,4,3
7,JPN,Japan,10,167,1,2,4,2
8,IDN,Indonesia,10,167,1,2,4,3
9,CAN,Canada,10,162,1,2,4,3
10,TWN,Taiwan,10,159,1,2,4,3
11,BRA,Brazil,10,156,1,2,4,3
12,IND,India,10,156,1,2,4,3
13,KAZ,Kazakhstan,10,154,1,2,4,3
14,ARG,Argentina,10,141,1,2,4,3
15,MEX,Mexico,10,139,0,3,4,3
16,HKG,Hong Kong,10,132,1,2,4,3
17,PER,Peru,10,132,1,2,4,3
18,SAU,Saudi Arabia,10,116,0,3,4,3
19,BGD,Bangladesh,10,109,0,3,2,5
20,PHL,Philippines,10,102,0,2,3,5
21,SYR,Syria,10,100,0,3,2,4
22,TJK,Tajikistan,10,92,0,1,2,7
23,MYS,Malaysia,10,90,1,1,3,1
24,NZL,New Zealand,10,85,0,1,4,2
25,TKM,Turkmenistan,10,79,0,1,0,6
26,COL,Colombia,10,70,0,2,1,2
27,PAK,Pakistan,9,58,0,0,2,1
28,LKA,Sri Lanka,9,51,0,0,0,6
29,KGZ,Kyrgyzstan,8,46,0,0,1,3
30,CRI,Costa Rica,8,42,0,1,0,1
31,SLV,El Salvador,7,41,0,2,0,0
32,KHM,Cambodia,10,40,0,0,0,3
33,NIC,Nicaragua,4,36,0,0,1,3
34,MKD,Macedonia,9,28,0,0,0,2
35,PAN,Panama,2,22,0,1,0,1
36,ARE,United Arab Emirates,10,16,0,0,0,0
37,BOL,Bolivia,2,16,0,0,0,2
38,TTO,Trinidad and Tobago,5,13,0,0,0,1
39,ECU,Ecuador,10,12,0,0,0,1
40,GTM,Guatemala,2,10,0,0,0,0
41,URY,Uruguay,4,6,0,0,0,0
