Gold
ARG 1,Salvatore,Alejo Manuel
AUS 1,Gunning,Alex
BRA 1,Pacanowski,Alessandro
CAN 1,Song,Alex
IDN 1,Susan,Fransisca
JPN 1,Mayuko,Yamashita
KAZ 1,Kalmyrzayev,Sergazy
KOR 1,Kim,Min Hyuk
MEX 1,Beuchot Castellanos,Kevin
PER 1,Altamirano Modesto,Christian Omar
RUS 1,Yakubov,Alen
SGP 1,Ma,Zhao Yu
TWN 1,Wu,Po-Sheng
THA 1,Wattanawonwibul,Phusit
USA 1,Liu,Allen

Silver
ARG 2,Salgado,Gaston
ARG 3,Decara,Lautaro
AUS 2,Ragavan,Seyoon
AUS 3,Shu,Mel
AZE 1,Ismayilova,Ulker
BRA 2,Santana Rocha,Daniel
BRA 3,Corato Zanarella,Murilo
CAN 2,Sun,Kevin
CAN 3,Whatle,Alexander
HKG 1,Tung,Kam Chuen
HKG 2,Cheung,Wai Lam
HKG 3,Lau,Chun Ting
IDN 2,Woenardi,Jonathan
IDN 3,Wibisono,Kevin
JPN 2,Yo,Mitani
JPN 3,Tasuki,Kinjo
KAZ 2,Kamal,Daniyar
KAZ 3,Abdrakhmanov,Alen
KOR 2,Lee,Jun Ho
KOR 3,Kim,Myeon Hu
MAS 1,Anzo Teh,Zhao Yang
MAS 2,Justin Lim,Kai Ze
MAS 3,How,Si Yu
MEX 2,Roque Montoya,Diego Alonso
MEX 3,Ortiz Rhoton,Juan Carlos
PAN 1,Moreno,Felioe
PER 2,Suyo Burga,Christian
PER 3,Ccaccya Carhuas,Miguel Angel
PHI 1,Sy,Adrian Reginald
PHI 2,Dulay,Kyle Patrick
RUS 2,Zaykov,Alexander
RUS 3,Bochkov,Ivan
SGP 2,Ling,Yan Hao
SGP 3,Tan,Siah Yong
SYR 1,Rahma,Sami
TWN 2,Wu,Pang-Cheng
TWN 3,Chen,Evan
THA 2,Karntikoon,Kritkorn
THA 3,Wattanawongwibul,Suchan
USA 2,Sellke,Mark
USA 3,Brakensiek,Joshua

Bronze
ARG 4,Salvador,Alejo Antonio
ARG 5,Gazzano,Gabriel Darío
ARG 6,Galluccio,Francisco
ARG 7,Zitelli,Maximiliano
AUS 4,Tran,Andy
AUS 5,Babidge,Alex
AUS 6,Yip,Jeremy
AUS 7,Calisa,Vaishnavi
BGD 1,Shafiullah,Nur Muhammad
BGD 2,Hasan,Adib
BRA 4,Sanches Angelo,Rodrigo
BRA 5,Oliveira Reis,Victor
BRA 6,Lima Braga,Daniel
BRA 7,Perozin de Fáven,Alexandre
CAN 4,Abbasi,Sina
CAN 5,Fazel-Rezai,Vahid
CAN 6,Molina,Antonio
CAN 7,Qi,Qi
COL 1,Díaz,Juan Sebastián
HKG 4,Hui,Pak Nam
HKG 5,Wong,Sze Nga
HKG 6,Wong,Hing Shing
HKG 7,Yu,Hoi Wai
