Gold
AUS 1,Yip,Jeremy
BRA 1,Sacramento Oliveira,Pedro Henrique
CAN 1,Song,Zhuoqun (Alex)
JPN 1,Takuya,Inoue
KOR 1,Choi,Jae Won
MEX 1,Ortiz Rhoton,Juan Carlos
RUS 1,Bochkov,Ivan
SGP 1,Toh,Shan Hong (Dylan)
TWN 1,Chen,Brian
THA 1,Akkaraphab,Nathanon
USA 1,Liu,Allen

Silver
AUS 2,Gunning,Alexander
AUS 3,Song,Yang
BRA 2,Corato Zanarella,Murilo
BRA 3,de Oliveira Pacanowski,Alessandro
CAN 2,Sun,Kevin
CAN 3,Pan,Michael
COL 1,Cáceres,Daniel
HKG 1,Yu,Hoi Wai
HKG 2,Cheung,Wai Lam
HKG 3,Lee,Shun Ming Samuel
IND 1,Biswas,Debam
IDN 1,Woenardi,Jonathan M.
IDN 2,Arizaputra,Rezky
IDN 3,Jayakusuma,Henry
JPN 2,Kento,Nomura
JPN 3,Terunari,Fuji
KAZ 1,Amanbayeva,Aruzhan
KAZ 2,Ismailov,Akhan
KOR 2,Park,Jong woo
KOR 3,Kim,Jae-Hyung
MAS 1,Anzo Teh,Zhao Yang
MAS 2,Justin Lim,Kai Ze
MAS 3,Tan,Kin Aun
MEX 2,Beuchot Castellanos,Kevin William
NZL 1,Han,George
NZL 2,Shen,Kevin
PER 1,Espinoza Palacios,Jimmy Axel
PER 2,Vigo Cadenillas,Diego Martin
PER 3,Altamirano Modesto,Christian Omar
PHI 1,Wu,Farrel Eldrian
PHI 2,Sy,Adrian Reginald
PHI 3,Dulay,Kyle Patrick
RUS 2,Gladkov,Nikita
RUS 3,Losev,Ilya
SGP 2,Chew,Xuan Da (Clarence)
SGP 3,Lee,Hua Jun (Eugene)
TWN 2,Chen,Po-Jui
TWN 3,Hsieh,Yao-Ching
THA 2,Boonsiriseth,Krit
THA 3,Khampitak,Thatchanok
USA 2,Narayana,Shyam
USA 3,Liu,Yang

Bronze
ARG 1,Marchionna,Agustín Luis
AUS 4,Yoo,Henry
AUS 5,Baker,Thomas
AUS 6,Lu,Allen
AUS 7,Kucherov,Ilia
BGD 1,Elahi,Asif-E
BGD 2,Anwar,Sanzeed
BGD 3,Zakaria,FM
BGD 4,Hasan,Adib
BGD 5,Turzo,Sazid Akhter
BGD 6,Habib,Siam
BGD 7,Kundu,Pritom
BRA 4,Campos Vargas,João César
BRA 5,Toneatti Vercelli,Cabriel
BRA 6,Lima Braga,Daniel
